num;Name;Profile ID;Date;Likes;Comment;Comment ID;Profile URL;Comment URL
71;lescanoud10;5138705575;04/11/2023 13:02;0;Jaja eso dijeron hace 1 año;1,80E+16;https://www.instagram.com/lescanoud10/;https://www.instagram.com/p/CzMR63HuST8/c/17955729611566820
72;angelquiroz33;4035400800;04/11/2023 13:12;0;NO.ME DIGAN QUE AUMENTARA EL PASAJE...;1,80E+16;https://www.instagram.com/angelquiroz33/;https://www.instagram.com/p/CzMR63HuST8/c/17972442086627231
73;rivera_bryan3;1257177322;04/11/2023 13:52;0;Pero del 2030 😂;1,83E+16;https://www.instagram.com/rivera_bryan3/;https://www.instagram.com/p/CzMR63HuST8/c/18305364022190682
74;carmenuc22;4302760066;04/11/2023 14:06;0;Porfin👏;1,80E+16;https://www.instagram.com/carmenuc22/;https://www.instagram.com/p/CzMR63HuST8/c/18030085555648891
75;cinnamon_gatti;4712392957;04/11/2023 14:28;0;Ósea van a demorar más, pésimo el Atu;1,81E+16;https://www.instagram.com/cinnamon_gatti/;https://www.instagram.com/p/CzMR63HuST8/c/18053133031501233
76;jsu_gm;293848961;04/11/2023 16:07;0;Mentirosos eso esta abandonado ese proyecto no veo a nadie trabajando en ello ya la gente está sacando las barandas para poder cruzar caminando las plantas muriendo eso esta en decadencia, gobierno ba$ura;1,80E+16;https://www.instagram.com/jsu_gm/;https://www.instagram.com/p/CzMR63HuST8/c/17982926777579703
77;missmileamaya;426859442;04/11/2023 16:08;0;Eso dijeron hace 1 año 🙃;1,81E+16;https://www.instagram.com/missmileamaya/;https://www.instagram.com/p/CzMR63HuST8/c/18096795604366019
78;geronimo.aliaga;18040178371;04/11/2023 16:41;0;Ojalá ya un año paralizado;1,80E+16;https://www.instagram.com/geronimo.aliaga/;https://www.instagram.com/p/CzMR63HuST8/c/18007185791105694
79;miguellevano;1384453711;04/11/2023 17:19;0;😂😂De que año 😂😂;1,80E+16;https://www.instagram.com/miguellevano/;https://www.instagram.com/p/CzMR63HuST8/c/18039005404569931
80;jeanlerby;33383952899;04/11/2023 17:43;0;Potencia mundial!!!;1,79E+16;https://www.instagram.com/jeanlerby/;https://www.instagram.com/p/CzMR63HuST8/c/17865931301983948
81;diego.chavezpareja;52005279985;04/11/2023 17:47;0;@heisenberg1513 no hables si no sabes la porquería de gestión de esa obra payaso;1,83E+16;https://www.instagram.com/diego.chavezpareja/;https://www.instagram.com/p/CzMR63HuST8/c/18309091636117264
82;diego.chavezpareja;52005279985;04/11/2023 17:49;0;Cuatro estaciones para tantos retrasos y cagadas en la infraestructura;1,79E+16;https://www.instagram.com/diego.chavezpareja/;https://www.instagram.com/p/CzMR63HuST8/c/17934388049767447
83;edward_pv;3049524202;04/11/2023 18:55;0;Un año después de terminado, estos c...s...;1,80E+16;https://www.instagram.com/edward_pv/;https://www.instagram.com/p/CzMR63HuST8/c/18043342252552920
84;gwendholy;2313385371;04/11/2023 19:28;0;Q no lo abrieron en diciembre 2022?😂😂😂 será cierto esta vez?;1,79E+16;https://www.instagram.com/gwendholy/;https://www.instagram.com/p/CzMR63HuST8/c/17944236548623837
85;usuariowebn;1963013355;04/11/2023 19:39;0;Y cuando para el Este?;1,80E+16;https://www.instagram.com/usuariowebn/;https://www.instagram.com/p/CzMR63HuST8/c/17976816347391114
86;scessars;30398871;04/11/2023 19:49;0;15 de diciembre de que año???;1,84E+16;https://www.instagram.com/scessars/;https://www.instagram.com/p/CzMR63HuST8/c/18395410249025162
87;yvanpalpa;2319213731;04/11/2023 23:15;0;De que año?;1,80E+16;https://www.instagram.com/yvanpalpa/;https://www.instagram.com/p/CzMR63HuST8/c/17988428423397562
88;josephreview;40532294856;05/11/2023 2:20;0;Mientras que siga en esperando a que se aperture el tramo del norte, ya se habrán robado los cables electricos y rejas metálicas y parte de los semáforos.;1,80E+16;https://www.instagram.com/josephreview/;https://www.instagram.com/p/CzMR63HuST8/c/17985733865405391
89;yolanda.romeror;8924948715;05/11/2023 5:38;0;Y cuando harán que se pueda recargar las tarjetas por aplicativo antes se podía en tiendas TAMBO y hace más de 15 días que no tienen sistema;;;
90;jcezat07;5687945563;05/11/2023 12:53;0;Eso dijeron en 2022. Llegó enero 12023 y pues aquí estamos.;1,82E+16;https://www.instagram.com/jcezat07/;https://www.instagram.com/p/CzMR63HuST8/c/18200430856286438
91;jcezat07;5687945563;05/11/2023 12:54;0;@heisenberg1513 JAJAJA OE, GUGLEA PARA QUE NO HABLES PIEDRAS.;1,79E+16;https://www.instagram.com/jcezat07/;https://www.instagram.com/p/CzMR63HuST8/c/17862555036028263
92;victorguz78;1689313900;05/11/2023 16:39;0;Aquí en el norte la vía del lentopolitano está mal hecha 1 solo carril, cruces peatonales cada 2 km , paraderos mal hechos, pareciera que cada tramo estuviera diseñadoo por distinto arquitecto 😂;1,80E+16;https://www.instagram.com/victorguz78/;https://www.instagram.com/p/CzMR63HuST8/c/18026789179627487
93;alejandrosa.da;8432962261;05/11/2023 17:56;0;Eso siempre que paso por allí ya esta listo. No se que esperan? Una obra tan sencilla se pasan;1,80E+16;https://www.instagram.com/alejandrosa.da/;https://www.instagram.com/p/CzMR63HuST8/c/18030925828589623
94;alejandrosa.da;8432962261;05/11/2023 17:56;0;@jackydurand23 tal cual. Habiendo tanto espacio;1,83E+16;https://www.instagram.com/alejandrosa.da/;https://www.instagram.com/p/CzMR63HuST8/c/18279754702156809
95;alejandrosa.da;8432962261;05/11/2023 17:57;0;Por querer sacarle dinero a la gente seguro trasbordo y pagar aparte;1,80E+16;https://www.instagram.com/alejandrosa.da/;https://www.instagram.com/p/CzMR63HuST8/c/18029910679641299
96;chumpitazguzman;4113265920;05/11/2023 18:06;0;No van a llegar a Chimpu Ocllo....solo hasta los Incas...la verdad no comprendo tanta ineficiencia...!!!!;1,79E+16;https://www.instagram.com/chumpitazguzman/;https://www.instagram.com/p/CzMR63HuST8/c/17884435817954301
97;norca.ni;61262349101;05/11/2023 21:42;0;Difícil creerles...SIEMPRE HAN MENTIDO.;1,80E+16;https://www.instagram.com/norca.ni/;https://www.instagram.com/p/CzMR63HuST8/c/18024813541699728
98;oscarsilvestre5000;2208255255;06/11/2023 1:19;0;Y les creen;1,79E+16;https://www.instagram.com/oscarsilvestre5000/;https://www.instagram.com/p/CzMR63HuST8/c/17900883152880642
99;joseartemiocornejosarmiento;12369956840;06/11/2023 2:01;0;Sr Aguilar primero preocupese en abastecer de unidades a dicha zona norte , sobretodo los días sábados es un CAOS con el expreso 4 , las  unidades pasan súper llenos y todavía paran en la estación uni .. dónde diablos vamos a subir ,EN EL TECHO...ya pues caraduras y el otro sr Porky ... qué hace por mejorarlo?;1,79E+16;https://www.instagram.com/joseartemiocornejosarmiento/;https://www.instagram.com/p/CzMR63HuST8/c/17866059614980514
100;anthonymacedo07;2042442467;06/11/2023 4:15;0;Otra vez no dijeron de qué año 🤭;1,80E+16;https://www.instagram.com/anthonymacedo07/;https://www.instagram.com/p/CzMR63HuST8/c/17981675246594443
